,eta,epochs,w1_start,w2_start,w1_end,w2_end,loss_start,loss_end
0,0.0001,100,9.84866028730073,3.051296870982503,9.038276539022657,2.847471322371322,397.8614373184267,328.64805778675856
0,0.0001,100,-0.8791240954549706,2.0899618315685853,-0.723494823814391,1.99771798177407,20.507241919322773,17.263660711256254
0,0.001,100,9.652910319502332,1.4672375371332746,4.468682568124546,0.9595548463604433,343.7578271245834,55.583094957976364
0,0.001,100,3.323931904937929,-7.725251020583139,2.104982818972731,-2.911983415771071,324.1345008494612,66.71500893478446
0,0.01,100,4.936285630549508,1.963023476587742,1.0022985887529885,1.0023693180706803,63.150153332451836,4.194884656383458e-05
0,0.01,100,-9.07215888580031,-9.18215154682959,0.9964652590587969,0.997839673431529,812.8838205472634,7.862817043675375e-05
0,0.01,100,-5.266020907977187,7.509407783031845,0.9987587772464931,1.0016331540755834,328.96523796576525,1.9986608659659347e-05
0,0.05,100,-7.4655027276283885,-2.2114217915392875,1.0,1.0,347.2597797232117,0.0
0,0.05,100,9.012052299989254,4.742666948697538,1.0000000000000002,1.0000000000000002,292.3125552587752,3.7680434175947392e-31
0,0.05,100,-7.518493689021684,9.298748495533282,1.0,1.0,629.0057451260819,0.0
0,0.075,100,-1.6891853737686469,-7.686880047553581,1.0,1.0,332.04983820808934,0.0
0,0.075,100,-4.771734380870094,2.066994012450898,1.0,1.0,154.82830908209127,0.0
0,0.075,100,1.026995949446321,-3.7310620493616176,1.0,1.0,86.69209608384841,0.0
0,0.1,100,-1.4707504260424042,7.318478230630198,1.0,1.0,186.3833398831639,0.0
0,0.1,100,0.4607335683994829,-9.483803487196685,1.0,1.0,432.00479775170874,0.0
0,0.1,100,-2.3445905270495904,-5.049967605673156,1.0,1.0,202.3850157484083,0.0
0,0.1,100,-4.832685219195152,0.7816709265115063,1.0,1.0,137.8731455089545,0.0
0,0.125,100,5.133676364958926,-4.205965095498188,1.0,1.0,202.0604081824432,0.0
0,0.125,100,8.19643170317633,3.3727119016238905,1.0,1.0,265.07683962994946,0.0
0,0.125,100,-8.471886937953656,-8.71717198446316,1.0,1.0,892.988491300825,0.0
0,0.125,100,8.691513340627775,0.4038650923243736,1.0,1.0,260.4869813469424,0.0
0,0.15,100,-5.450382404222411,6.26739723947511,1.0,1.0,284.7214237432754,0.0
0,0.15,100,-6.204168143365536,4.286870571836843,1.0,1.0,269.0300678934576,0.0
0,0.15,100,-0.737170427046494,-4.961030408456213,1.0,1.0,168.20211604899163,0.0
0,0.2,100,6.938865775429752,4.6333018496917555,1.0304570265782238,0.9987310803860694,228.8960099291345,0.00502826651099611
0,0.2,100,5.877234444277151,0.6046585983345176,54310534.00728378,75134580.93483052,108.37760934723048,3.3220747785195336e+16
0,0.2,100,-2.41999315217833,7.1694009435291335,0.9999999740385811,1.000000039333798,227.2646724109212,1.4793617123584052e-14
0,0.3,100,-0.08950278171235171,-4.680335603564596,-8.435418329392992e+23,-5.203338970908643e+23,133.0332858146909,1.512326443075471e+48
0,0.3,100,-6.041424867376262,7.817983693282054,-2.2226639130300134e+20,-1.9136898262647787e+20,355.9283709298034,1.4511796154213938e+41
0,0.3,100,5.379364543836028,7.118218995385974,1.0160272510517139e+22,3.362308904916334e+22,247.80768005655605,2.0050059401372027e+45
0,0.3,100,-6.759477757327761,-7.8921686520518675,1.263720455126422e+31,-1.1619967597271808e+31,446.6397152814254,3.5031825484554704e+62
0,0.4,100,0.23570768386491858,8.289374972613883,1.7265308446955663e+34,1.778439264616396e+34,201.97145053298507,5.157977431903592e+68
0,0.4,100,3.8211372421563006,-7.104940269516988,1.0920558695883375e+42,-1.7658331531834295e+41,318.83160699270417,8.161355153811488e+83
0,0.4,100,-8.02369439439393,-1.0886243621124003,-5.466813596003703e+40,3.595099839262231e+40,355.75296416550054,2.977648168045492e+81
0,0.5,100,-5.372327796503862,-5.400252762637936,-8.3213825286201e+55,-4.972761624496224e+55,367.569207135686,3.390775660072613e+111
0,0.5,100,0.6746533692060086,9.748959818424737,-9.44251283908535e+50,9.477082879563564e+49,296.17843209237236,3.653630432354052e+101
0,0.5,100,-8.733971718591471,0.8267775046283954,-7.984613089218115e+61,-3.903835978512739e+61,454.63452258366146,2.414839265583099e+123
0,0.75,100,4.79273730448698,-1.962782755430068,-2.73957222697575e+74,-9.610581313388318e+74,95.09031142893971,1.404060016954934e+149
0,0.75,100,-5.725447985865459,0.11221877007192349,-1.6786688551476865e+75,-1.174293405753218e+75,192.25493577943152,5.933484005012574e+149
0,1,100,2.6667062232041694,-2.813329686746102,1.3475586346863372e+91,-1.3468673703927774e+91,76.77774665150154,2.5274596201792038e+181
0,1,100,-8.626489812902044,-9.587942956661657,6.176750407378121e+96,-8.955005188542518e+96,779.0472426466514,7.104607293348479e+192
0,1,100,1.6640796639459943,-9.951806272466492,2.0942590677944866e+92,-3.180512590558924e+92,518.7489566327906,9.864959943033821e+183
